content,rating
"Bitch",1
"lil bitch",1
"Fag",1
"fag",1
"Nig",1
"Nigg",1
"Nigga",1
"Nigger",1
"nig",1
"nigg",1
"nigga",1
"nigger",1
you are so fucking ugly,1
fuck you mac user,1
i fucking hated marking yours,1
Bro fuck u,1
"all english majors are pedos",1
"dickriding",1
"figures you'd ride him",1
"fuck u guys",1
"Can you name 3 women that are comfortable enough to be alone in a room with you?",1
"You seem dumb",1
"youre so dumb",1
"ur gay",1
"you're gay",1
"Damn you're not doing good on even getting admitted to a PhD program",1
"Or are you so deluded you think you are the pillar of truth",1
"you are mentally challenged",1
"whoever wrote that is mentally disabled",1
"Retard",1
"retarded",1
"check your hearing",1
"incel",1
"incel core",1
"you sound stupid",1
"We should help the idiot",1
"See how dumb you sound?",1
"Maybe it will make him learn something for once",1
"Ok dropout",1
"You should dropout",1
"Dropout",1
"Yeah I don't like people like you",1
"Go stroke them",1
"please throw yourself off a cliff, respectfully",1
"ur so trash, stay hardstuck",1
hope your family gets hit by a tornado,1
die of cancer please and thank you,1
you mentally retarded pig,1
you deserve to burn in the deepest depths of hell,1
you have stage six cancer,1
i think i got cancer from watching you,1
i need to bleach my eyes after seeing what you just did,1
your mom and your sister are whores,1
you belong in a mental institution,1
you need to get lynched by the kkk,1
this guy is ending world hunger with how much he's feeding,1
he's the full on buffet,1
delete system32 in real life,1
could you please buy a noose and tie it around your neck,1
you have fucking aids,1
"i pray for the brain-eating worm in your head, it must be starving",1
"please jump into a lava pool, in minecraft of course",1
put a gun next to your own head and pull the trigger please,1
ur the type of guy to pull the pin on the grenade and throw the pin,1
you need to shove a meter stick up your ass,1
ur so useless ur literally on the enemy team,1
i hope you get stranded in antarctica,1
you need to study how to suck dick properly,1
you are fucking useless just do as i say fucking retard,1
i hope a first strike missile hits your house,1
did ur dad leave to get milk,1
you need conversion therapy,1
die in real life please,1
yeah the guy who is hardstuck 2000 games is talking,1
you deserve to be in the deep depths of iron for that play,1
"this guy must be a bot account, no way a real human plays like this",1
my teammates are so fucking useless this can't be real,1
i swear my teammates are win trading,1
can you please stop missing ur actually so trash,1
ur actually just mentally retarded,1
you need to eat lead irl,1
ur actually so garbage please report and permaban,1
you play like a fucking monkey,1
even a monkey would have dodged that spell,1
"a gold fish beat this level, and you can't",1
you can't fucking hit water in an ocean,1
ur aim is so bad id be more worried if you are shooting the guy next to me,1
"i'm going to cast the cruciatus cuse on you ten times, then finally the avada kedavra",1
why the hell do you have that item are you a pig,1
u must be trolling i refuse to believe a real human would do this,1
after seeing that i think ur iq might be in the negatives,1
can you stop being a faggot what the fuck is your problem,1
hope you end up as some big cat's dinner,1
"i hope ur house catches on fire and u, ur parents, and ur kids burn to a crisp",1
u need to die in a gas chamber,1
i hope chris hansen exposes ur ass one day,1
i swear im gonna gun u down with an ak47,1
i hope what just happened to u in game happens to u in real life,1
ez clapped like a bunch of monkeys,1
u deserve no rights like a slave,1
u deserve to be shot for that,1
if you don't do as i say i am quitting the game,1
enjoy ur highly deserved loss,1
u better thank me on bended knee for carrying ur ass this game,1
i hope putin invades ur country,1
i hope u swallow a bullet,1
"are u an orphan or something, u act like one",1
stupid egirls and their bought accounts,1
are u playing on ur big brother's account,1
the path you just took is about straight as you,1
stop fucking dying do you enjoy the death screen,1
but this guy is just permanently dead,1
all my teammates are fucking dumbasses,1
"we need the capital punishment, just for you",1
you make a really good case for post-birth abortion,1
you are a waste of water and oxygen,1
you deserve to starve to death,1
this motherfucker won't stop pinging me,1
there needs to be a mute button in real life for this guy,1
you exhibit peak fatherless behaviour,1
do something u fucking pussy,1
this monkey can't fucking aim,1
ur aim is so bad even aimbot can't fix you,1
ur strategy is so incredibly bad a ten-year old could beat you,1
you're literally asking for death,1
ur brain is actually fucking non-functional,1
are you fucking illiterate,1
you're actually fucking blind how did you not see that,1
that was the most obvious trap you fucking retard,1
shut the fuck up and do something,1
ur mother should have aborted you,1
how the fuck did you fall for that you fucking imbecille,1
this guy must like touching kids,1
are you fucking disabled i could do better with one arm,1
you have 55 chromosomes,1
you are a fucking femboy twink,1
i hate these egirls they are so fucking uesless,1
ur skull is fucking hollow,1
this piece of shit needs to shut up and be useful for once in his life,1
ur worth as much as a pawn,1
the rook is worth more than the knight you fucking dumbass,1
retards like you are the reason we can't have nice things,1
ur program is so fucking slow my mental math is faster,1
